,text,neg,neu,pos,compound
137,RT @WayneH__: I’m done fighting it. Time to get a small power system and a gas hob. Can’t afford to be stubborn about this any longer,0.058,0.873,0.069,0.9845
138,"RT @ChristianOnRE: /5 Key conclusion: “Thanks to low-cost electricity from solar PV and wind power, which can be complemented by other RE s…",0.058,0.874,0.068,0.9845
139,"#Solar is expected to triple over the next 5 years, surpassing #coal and becoming the largest source of power capac… https://t.co/R2cG4vgaTb",0.057,0.875,0.068,0.9845
140,#India has asked state-run firms to increase imports of natural gas in anticipation of higher power demand next sum… https://t.co/EUBxynyu07,0.057,0.873,0.07,0.9889
141,@alphi_sipho It depends on what type of batteries you have  I ditched it for solar power,0.057,0.873,0.07,0.9889
142,"@ScottishPower customer service is appalling,  your phone lines say you prioritise people who are off power but the… https://t.co/r9tXBbHEtd",0.058,0.873,0.069,0.9867
143,RT @ChristianOnRE: /2 The @UniLUT scenarios reveal that #100RE anytime in 2030s is a least cost solution. Solar PV-battery is the inner cor…,0.057,0.873,0.07,0.9887
144,"@Treehouse_incng @StephenKlebs @AbiluTangwa Same issue for a grid.

Solar is massively expensive and unreliable.

C… https://t.co/XliUZvVX0v",0.057,0.874,0.069,0.9887
145,"RT @IFC_ECA: 🇺🇿 #Uzbekistan is highly energy-intensive and due to aging infrastructure, #blackouts are frequent.

Thanks to an innovative p…",0.056,0.872,0.071,0.9924
146,"RT @khamenei_ir: “We can’t” was a negative, wrong catchphrase before the Revolution in #Iran. The #Revolution changed this mindset, which l…",0.059,0.87,0.071,0.9872
147,I’m done fighting it. Time to get a small power system and a gas hob. Can’t afford to be stubborn about this any longer,0.061,0.869,0.07,0.9802
148,"@amitsinghlive_ @InsightGL @DmytroKuleba Oil embargo is going in soon, the amount of gas and oil Europe (not the $… https://t.co/Yuo0DHQkZ2",0.06,0.87,0.07,0.9802
149,"RT @magpiekilljoy: - if your house has solar, consider a battery backup system (i think you can do this without solar as well). Also expens…",0.06,0.871,0.069,0.9802
150,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.872,0.069,0.9802
151,India to step up gas imports to address summer power demand #LNG https://t.co/oAAyP3AGXd,0.06,0.872,0.068,0.9787
152,RT @magpiekilljoy: - backup power comes in all kinds of budgets and styles. never run a generator inside. small battery banks can keep phon…,0.059,0.873,0.068,0.9787
153,"Rooftop Solar Energy
The smartest way to power your house.

📲 𝗗𝗠 𝘂𝘀 𝗳𝗼𝗿 𝗺𝗼𝗿𝗲 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻 and
Get a site survey and… https://t.co/HlUIHkTNma",0.059,0.871,0.07,0.9878
154,"With a surge of power from the arcjet, you break orbit and escape the solar system, leaving the white dwarf far behind you.",0.058,0.872,0.07,0.9888
155,"@sunnydarkgr33n @Solar_Quotes @simonahac @Tesla That stacks up for me 
1) my 2020 Leaf 40kw is   = 3.3 x Tesla powe… https://t.co/gjfM0pkfUP",0.058,0.872,0.07,0.9888
156,"RT @simonjnicholas: Solar power to overtake coal by 2027: IEA 

And renewable energy in total will overtake coal as the largest source of g…",0.058,0.872,0.07,0.9901
157,@25_cycle @FChecker76 @ThruNoiz @BJChippindale @Climatehope2 @ejwwest @DawnTJ90 @suffect @KeillerDon @Climate_Takes… https://t.co/IZmBPU5iZW,0.057,0.873,0.07,0.9901
158,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.874,0.069,0.9901
159,RT @fofvinyl: mind you he said the same thing about lorde when solar power dropped and nobody was yelling at him https://t.co/qI1Nbdk95n,0.057,0.874,0.069,0.9901
160,"RT @scienceisstrat1: Good news alert 👇

Solar PV’s installed power capacity is poised to surpass natural gas by 2026 and coal by 2027, beco…",0.056,0.872,0.072,0.9942
161,"RT @_ComfortMedia: Solar Energy is Future!
Be part of the great revolution, let's move from Loadshedding to Solar system for a reliable pow…",0.056,0.871,0.074,0.9958
162,RT @magpiekilljoy: - backup power comes in all kinds of budgets and styles. never run a generator inside. small battery banks can keep phon…,0.055,0.871,0.073,0.9958
163,"RT @magpiekilljoy: - if your house has solar, consider a battery backup system (i think you can do this without solar as well). Also expens…",0.055,0.872,0.073,0.9958
164,RT @germany_works: The increased amount of solar power was due to both favorable weather conditions and additions to German solar power cap…,0.055,0.871,0.074,0.9966
165,"@annamalai_k Yov loosu.. What was excise duty when bjp came to power, ippo evalo.. How much is crude oil now, why f… https://t.co/ZniNZnj40N",0.056,0.871,0.074,0.9959
166,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.055,0.871,0.073,0.9959
167,"No network and no power? Don't worry! 🤓

The #Dahua 4G Solar Power Network PT Camera is a self-sufficient device de… https://t.co/GPCvthPxpJ",0.057,0.87,0.073,0.9956
168,How an energy company based in South Africa hasn’t resorted to solar energy by now shows how inadequate and utterly… https://t.co/i327Juc5Ov,0.057,0.868,0.074,0.9958
169,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.869,0.074,0.9958
170,@AngelicaOung Why build nuclear for baseload when you can build coal perhaps? Especially in a political climate tha… https://t.co/8IyFN1vZ3h,0.057,0.87,0.074,0.9958
171,"@Dibzemon Which is fucked up if you think about it. 

Like i dont understand how people go about their lives with n… https://t.co/NhZ4IGY3HC",0.058,0.868,0.074,0.9951
172,RT @Wera_Hobhouse: 🌳Burning trees in our power stations is a scandal. It is not a renewable form of energy producing more CO2 per unit than…,0.058,0.867,0.074,0.9948
173,ReNew Power is partnering with Indian stainless steel company Jindal Stainless to develop a 300MW wind and solar pr… https://t.co/02l5GmHWam,0.058,0.868,0.074,0.9948
174,"RT @dereckgoto: Since 2017, Government has been encouraging private players to invest in Electricity Generation.This has seen the commissio…",0.058,0.868,0.075,0.9957
175,Solar power to overtake coal by 2027: IEA https://t.co/yDkXrv3dIF,0.058,0.868,0.074,0.9957
